Nro.,Case de Prueba,deviceId,platform,application,authorization,customerCouponId,codigo,codbody,rtoken
1,Eliminar mis cupones exitoso - resultado 204,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,204,,
2,Eliminar mis cupones con X-Device-Id en blanco - resultado 400,,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
3,Eliminar mis cupones con X-Device-Id caracteres especiales - resultado 400,#$%&=+*-.*&%$#,AND,COM,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
4,Eliminar mis cupones con X-Device-Id menor a carateres permitidos - resultado 400,1,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
5,Eliminar mis cupones con X-Device-Id mayor a carateres permitidos - resultado 400,1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
6,Eliminar mis cupones con X-Platform en blanco - resultado 400,1234567890,,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
7,Eliminar mis cupones con X-Platform caracteres especiales - resultado 400,1234567890,#$&,COM,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
8,Eliminar mis cupones con X-Platform menor a carateres permitidos - resultado 400,1234567890,IO,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
9,Eliminar mis cupones con X-Platform mayor a carateres permitidos - resultado 400,1234567890,ANDR,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
10,Eliminar mis cupones con X-Application en blanco - resultado 400,1234567890,IOS,,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,df18cc1c-cff8-4f2a-b273-b7fb853f73d1,400,GEN_ALL_01,
