Nro.,Case de Prueba,name,lastName,phone,email,password,confirmPassword,codigo
1,Registro nuevo cliente exitoso - resultado 201,Manuel Paul,Perez Paz,984282012,mpperez@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,201
2,Registro nuevo cliente con name menor a caracteres permitidos - resultado 400,J,Perez Chavez,984280278,joseperez02@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
3,Registro nuevo cliente con name mayor a caracteres permitidos - resultado 400,Jose LuisJose LuisJose LuisJose LuisJose LuisJose LuisJose,Perez Chavez,984280202,joseperez03@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
4,Registro nuevo cliente con name en blanco - resultado 400,,Perez Chavez,984280203,joseperez04@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
5,Registro nuevo cliente con lastname menor a caracteres permitidos - resultado 400,Jose Luis,P,984280204,joseperez05@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
6,Registro nuevo cliente con lastname mayor a caracteres permitidos - resultado 400,Jose Luis,Perez ChavezPerez ChavezPerez ChavezPerez ChavezPerez,984280205,joseperez06@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
7,Registro nuevo cliente con lastname en blanco - resultado 400,Jose Luis,,984280206,joseperez07@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
8,Registro nuevo cliente con phone menor a caracteres permitidos - resultado 400,Jose Luis,Perez Chavez,9,joseperez08@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
9,Registro nuevo cliente con phone mayor a caracteres permitidos - resultado 400,Jose Luis,Perez Chavez,98428028789,joseperez09@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
10,Registro nuevo cliente con phone en blanco - resultado 400,Jose Luis,Perez Chavez,,joseperez010@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
