Nro,Case de Prueba,x-device-id,x-platform,x-application,authorization,client_id,code,codigo,codbody
1,Validar código exitoso - resultado 201,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,2687,201,
2,Validar código con X-Device_id en blanco - resultado 400,,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,4244,400,GEN_ALL_01
3,Validar código con X-Device_id menor a carateres permitidos - resultado 400,1,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,7145,400,GEN_ALL_01
4,Validar código con X-Device_id mayor a carateres permitidos - resultado 400,1.2346E+300,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,8143,400,GEN_ALL_01
5,Validar código con X-Platform en blanco - resultado 400,1234567890,,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,5275,400,GEN_ALL_01
6,Validar código con X-Platform menor a carateres permitidos - resultado 400,1234567890,IO,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,5686,400,GEN_ALL_01
7,Validar código con X-Platform mayor a carateres permitidos - resultado 400,1234567890,IOSS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,6748,400,GEN_ALL_01
8,Validar código con X-Application en blanco - resultado 400,1234567890,IOS,,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,7474,400,GEN_ALL_01
9,Validar código con X-Application menor a carateres permitidos - resultado 400,1234567890,IOS,CU,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,8920,400,GEN_ALL_01
10,Validar código con X-Application mayor a carateres permitidos - resultado 400,1234567890,IOS,CUST,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,8892,400,GEN_ALL_01
