Nro.,Case de Prueba,deviceId,platform,application,authorization,code,codigo,codbody,rtoken
1,Validar codigo de perfil Exitoso - resultado 204,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,204,,
2,Validar codigo de perfil con X-Device-Id con null - resultado 400,null,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
3,Validar codigo de perfil con X-Device-Id Vacio - resultado 400,,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
4,Validar codigo de perfil con X-Device-Id Espacio en blanco - resultado 400, ,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
5,Validar codigo de perfil con X-Device-Id Espacios en blanco - resultado 400,      ,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
6,Validar codigo de perfil con X-Device-Id Menor a la cantidad de caracteres permitidos (1) - resultado 400,P,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
7,Validar codigo de perfil con X-Device-Id Mayor a la cantidad de caracteres permitidos (301) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQtaPF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQtaPF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQtaPF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQtaPF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQtaPF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQtaPF0NGDtS1sn1qq7cv3U,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
8,Validar codigo de perfil con X-Device-Id Caracteres especiales (Extraños) - resultado 400,#$&+*.$#,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
9,Validar codigo de perfil con X-Platform  Incorrecto - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,ANN,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
10,Validar codigo de perfil con X-Platform  null - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,null,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1234,400,GEN_ALL_01,
