Nro.,Case de Prueba,deviceId,platform,application,authorization,identifierDestination,amount,detail,codigo,codbody,rtoken
1,Cobrar Exitoso - resultado 201,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,201,,
2,Cobrar con X-Device-Id con null - resultado 400,null,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,20,Pago de menu,400,GEN_ALL_01,
3,Cobrar con X-Device-Id Vacio - resultado 400,,AND,COM,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,45.67,Pago de menu,400,GEN_ALL_01,
4,Cobrar con X-Device-Id Espacio en blanco - resultado 400, ,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,90.23,Pago de menu,400,GEN_ALL_01,
5,Cobrar con X-Device-Id Espacios en blanco - resultado 400,           ,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
6,Cobrar con X-Device-Id Menor a la cantidad de caracteres permitidos (1) - resultado 400,3,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
7,Cobrar con X-Device-Id Mayor a la cantidad de caracteres permitidos (301) - resultado 400,1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjklj1234567890asdfghjkljw,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
8,Cobrar con X-Device-Id Caracteres especiales (Extraños) - resultado 400,#$%&*+-,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
9,Cobrar con X-Platform  Incorrecto - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,DNA,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
10,Cobrar con X-Platform  null - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,null,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
