Nro.,Case de Prueba,deviceId,platform,application,authorization,qrcode,codigo,codbody,rtoken
1,Validar QR exitoso - resultado 200,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-2fbc1ddf-c8dc-4f66-9c59-544621826a38,200,,
2,Validar QR con X-Device-Id en blanco - resultado 400,,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
3,Validar QR con X-Device-Id caracteres especiales - resultado 400,#$%&=+*-.*&%$#,AND,COM,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
4,Validar QR con X-Device-Id menor a carateres permitidos - resultado 400,1,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
5,Validar QR con X-Device-Id mayor a carateres permitidos - resultado 400,1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1234567890qwertyuiop1,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
6,Validar QR con X-Platform en blanco - resultado 400,1234567890,,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
7,Validar QR con X-Platform caracteres especiales - resultado 400,1234567890,#$&,COM,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
8,Validar QR con X-Platform menor a carateres permitidos - resultado 400,1234567890,IO,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
9,Validar QR con X-Platform mayor a carateres permitidos - resultado 400,1234567890,ANDR,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
10,Validar QR con X-Application en blanco - resultado 400,1234567890,IOS,,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
